englishname,chinesename,incontinent,incountry,type,url,alljoburl,joburl,work,Location,PostLevel,ContractualArrangement,ClosingDate,Contractduration,PrimaryLocation,JobPosting,Organization,Schedule,Required
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1703066,Business Analyst,Switzerland-Geneva,P3,Temporary Appointment under Staff Rule 420.4,"Oct 13, 2017, 5:59:00 AM",6 months,Switzerland-Geneva,"Sep 21, 2017, 2:02:43 PM",HQ/MGA Management & Administration,,"</h2>
<h3>Education</h3><strong>Essential</strong>: University degree in Information Technology, mathematics, statistics or a relevant area for business analyst.<br><strong>Desirable</strong>: Advanced university degree in related discipline; specific training in business analysis.<br>
<h3>Experience</h3><strong>Essential</strong>: At least 5 years of experience in data analysis or similar experience in a relevant field, some of which in an international context..<br><strong>Desirable</strong>: Experience working with WHO or other UN agencies.<br>
<h3>Skills</h3>
<ul>
<li>Skilled in all aspects of the development and operation of information systems. 
</li><li>Ability to design, manage, analyze and coordinate complex information systems, computer- based applications and data-bases. 
</li><li>Ability to work and produce results under pressure and meet deadlines. Excellent analytical and drafting/writing skills are essential. 
</li><li>Knowledge of WHO office applications especially the Global Management System (GSM), vSHOC and other database applications and programming languages. 
</li><li>Ability to make present the information clearly and precisely.<br></li></ul>
<h3>WHO Competencies</h3>Teamwork<br>Respecting and promoting individual and cultural differences<br>Communication<br>Producing results<br>Moving forward in a changing environment<br>
<h3>Use of Language Skills</h3><strong>Essential</strong>: Expert knowledge of English.<br><strong>Desirable</strong>: Intermediate knowledge of French. Intermediate knowledge of WHO language.<br><br>
<h2>"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702742,Technical Officer,Switzerland-Geneva,P4,Temporary Appointment under Staff Rule 420.4,"Oct 13, 2017, 5:59:00 AM",12 months,Switzerland-Geneva,"Sep 21, 2017, 1:54:59 PM","HQ/MER Evidence, Research, Action on Mental &Brain Disorders",Full-time,"</h2>
<h3>Education</h3><strong>Essential</strong>: An advanced university degree (Masters level or above) in psychology.<br><strong>Desirable</strong>: Doctorate in clinical psychology.<br>
<h3>Experience</h3><strong>Essential</strong>: At least 7 years of relevant working experience in mental health research and services delivery for the mental health of people affected by extreme stressors (e.g., trauma, loss and other adversities). At least 3 years of experience in developing, testing and implementing scalable psychological interventions. At least 3 years working for the mental health of people in low and middle income countries.<br><strong>Desirable</strong>:? Experience in working for/with governments in development of mental health services. Experience in working for/with UN agencies in development of mental health services. Experience in working for/with NGOs in development of mental health services. Experience with the WHO mhGAP programme or other programmes involving the integration of mental health care in general health care.<br>
<h3>Skills</h3>Demonstrated knowledge and expertise in the planning, delivery and evaluation of mental health services, including in the context of resource-constrained countries; demonstrated knowledge of and training skills in clinical decision-making tools for mental, neurological and substance use disorders; demonstrated skills in building, maintaining and utilising mental health datasets and information systems; demonstrated skills in developing partnerships for mental health initiatives and; excellent communication, negotiation and interpersonal skills.<br>
<h3>WHO Competencies</h3>Teamwork<br>Respecting and promoting individual and cultural differences<br>Communication<br>Producing results<br>Ensuring the effective use of resources<br>
<h3>Use of Language Skills</h3><strong>Essential</strong>: Expert knowledge of English.<br><br>
<h2>"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702497,National Professional Officer - EHA,Myanmar-Yangon,NO-A,Temporary Appointment under Staff Rule 420.4,"Oct 12, 2017, 5:59:00 AM",24 months,Myanmar-Yangon,"Sep 21, 2017, 6:57:41 AM","SE_MMR WR Office, Myanmar",Full-time,"</font></b></div>
<div><b><u><font size=""3"" face=""Arial"">Education</font></u></b></div>
<div><b><font size=""3"" face=""Arial"">Essential</font></b><font size=""3"" face=""Arial"">: Degree in medicine<br><b>Desirable</b>: Post graduate degree in public health or disaster management or related fields</font></div>
<div><b><u><font size=""3"" face=""Arial""></font></u></b>?</div>
<div><b><u><font size=""3"" face=""Arial"">Experience</font></u></b></div>
<div><b><font size=""3"" face=""Arial"">Essential</font></b><font size=""3"" face=""Arial"">: </font><font size=""3"" face=""Wingdings"">à</font><font size=""3"" face=""Arial""> At least two years of work experience in programme management in Disasters and/or Public Health emergencies</font></div>
<div><font size=""3"" face=""Wingdings"">à</font><font size=""3"" face=""Arial""> Extensive professional experience in planning and management in the areas of health programme development, implementation, monitoring and evaluation and preparation of donor's reports related to health programmes at national level.<br><b>Desirable</b>: </font><font size=""3"" face=""Wingdings"">à</font><font size=""3"" face=""Arial""> Experience working in the UN system, </font></div>
<div><font size=""3"" face=""Wingdings"">à</font><font size=""3"" face=""Arial""> Experience with data management</font></div>
<div><b><font size=""3"" face=""Arial""></font></b>?</div>
<div><b><font size=""3"" face=""Arial"">Skills</font></b></div>
<div><font size=""3"" face=""Wingdings"">à</font><font size=""3"" face=""Arial""> Expertise in public health, Disaster management, communicable disease surveillance and outbreak response, and epidemiology. </font></div>
<div><font size=""3"" face=""Wingdings"">à</font><font size=""3"" face=""Arial""> Good understanding in disaster management and communicable disease surveillance.</font></div>
<div><font size=""3"" face=""Wingdings"">à</font><font size=""3"" face=""Arial""> Good communication skills and excellent use of computer and information technology. </font></div>
<div><font size=""3"" face=""Wingdings"">à</font><font size=""3"" face=""Arial"">Experience in health education.</font></div>
<div><font size=""3"" face=""Wingdings"">à</font><font size=""3"" face=""Arial""> Experience in health cluster coordination an asset</font></div>
<div><b><font size=""3"" face=""Arial""></font></b>?</div>
<div><b><font size=""3"" face=""Arial"">Other IT Skills:</font></b><font size=""3"" face=""Arial""> Excellent computer skills, knowledge and experience in microsoft word, excel, power point</font></div>
<div><b><font size=""3"" face=""Arial"">?</font></b></div>
<div><b><font size=""3"" face=""Arial"">WHO Competencies</font></b></div>
<div><font size=""3"" face=""Arial"">1. Teamwork<br>2. Respecting and promoting individual and cultural differences<br>3. Communication<br>4. Producing results</font></div>
<div><b><font size=""3"" face=""Arial""></font></b>?</div>
<div><b><font size=""3"" face=""Arial"">Use of Language Skills</font></b></div>
<div><b><font size=""3"" face=""Arial"">Essential</font></b><font size=""3"" face=""Arial"">: Expert knowledge of English. Expert knowledge of local language.<br><b>Desirable</b>: </font></div>
<div><b><font size=""5"" face=""Arial""></font></b>?</div>
<div><b><font size=""5"" face=""Arial"">"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702814,Technical Officer,"Korea, Democratic People's Republic of-Pyong Yang",P3,Temporary Appointment under Staff Rule 420.4,"Oct 12, 2017, 5:59:00 AM",24 Months (initially will be for 6 months and depending on availability of funding the position may be extended up to 24 months).,"Korea, Democratic People's Republic of-Pyong Yang","Sep 21, 2017, 6:33:27 AM","SE_KRD WR Office, DPR Korea",Full-time,"</font></b></div>
<div><b><font size=""3"" face=""Arial"">Education</font></b></div>
<div><b><font size=""3"" face=""Arial"">Essential</font></b><font size=""3"" face=""Arial"">: University degree in Business or Public Administration or Commerce with specialization in Finance, Accounting or Financial Management.<br><b>Desirable</b>: Advanced degree in business management is an asset.</font></div>
<div>?</div>
<div><b><font size=""3"" face=""Arial"">Experience</font></b></div>
<div><b><font size=""3"" face=""Arial"">Essential</font></b><font size=""3"" face=""Arial"">: At least five years of experience in accounting and financing, including some years of international experience<br><b>Desirable</b>: Working experience with UN agencies or Global Fund related activities is an asset. Experience in the WHO global management system (GSM) is an asset.</font></div>
<div>?</div>
<div><b><font size=""3"" face=""Arial"">Skills</font></b></div>
<div><font size=""3"" face=""Wingdings"">à</font><font size=""3"" face=""Arial"">Ability to effectively coordinate with partners/donors and collaborative agencies.</font></div>
<div><font size=""3"" face=""Wingdings"">à</font><font size=""3"" face=""Arial"">Interpersonal skills and communication skills</font></div>
<div>?</div>
<div><b><font size=""3"" face=""Arial"">Other Skills (IT): </font></b></div>
<div><b><font size=""3"" face=""Wingdings"">à</font></b><font size=""3"" face=""Arial"">Demonstrated ability to effectively use computer and utilize software such as Microsoft Office (Word, Excel, PowerPoint, Access, and Outlook etc).</font></div>
<div><font size=""3"" face=""Wingdings"">à</font><font size=""3"" face=""Arial"">Daily use of internet/email communications</font></div>
<div>?</div>
<div><b><font size=""3"" face=""Arial"">WHO Competencies</font></b></div>
<div><font size=""3"" face=""Arial"">1. Teamwork</font></div>
<div><font size=""3"" face=""Arial"">2. Respecting and promoting individual and cultural differences<br>3. Communication<br>4. Producing results<br>5. Ensuring the effective use of resources</font></div>
<div>?</div>
<div><b><font size=""3"" face=""Arial"">Use of Language Skills</font></b></div>
<div><b><font size=""3"" face=""Arial"">Essential</font></b><font size=""3"" face=""Arial"">: English.<br><b>Desirable</b>: </font></div>
<div><b><font size=""5"" face=""Arial""></font></b>?</div>
<div><b><font size=""5"" face=""Arial"">"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1701576,Team Leader (Malaria Case Management),Gabon-Libreville,P5,Fixed-Term Appointment,"Oct 11, 2017, 5:59:00 AM",1 Year,Gabon-Libreville,"Sep 20, 2017, 8:26:39 PM",AF/CDS - Communicable Diseases,,"</h2>
<h3>Education</h3><b>Essential</b>: Degree in medicine, complemented to specialization or post-graduate qualification in public health.<br><b>Desirable</b>: Post-graduate training or specialization in clinical care, malaria control, malaria case management.<br>
<h3>Experience</h3><b>Essential</b>: At least ten years' practical experience at national and international levels in malaria case management, antimalarial drug resistance complemented by experience in research and analysis, and the development of training tools and databases for monitoring and evaluation purpose; experience in policy formulation and quality management, strategic and policy planning and policy as well as facilitating consultations.<br><b>Desirable</b>: Experience in the field of research and development of health interventions as related to malaria control.<br>
<h3>Skills</h3>Demonstrated ability to plan, coordinate, develop and implement norms and standards related to malaria case management, monitoring, evaluation and reporting on results, progress, lessons learnt and best practices, and promoting cross-cutting activities. Sound understanding of global and regional issues related to malaria control. Proven track record in the development of effective reporting mechanisms and systems for monitoring and evaluation of results and progress at the sub-regional and country levels. Excellent communication and presentation skills with ability to write in a clear and concise manner and give technical advice and guidance taking into consideration the views of multiple stakeholders and partners; Proven ability to advocate and mobilize resources. . Proven interpersonal skills with ability to promote consensus, communicate progress and results, and resolve issues in a proactive manner, while ensuring effective work practices and ethics. Diplomacy, tact and courtesy.<br>
<h3>WHO Competencies</h3>Knowing and managing yourself<br>Producing results<br>Moving forward in a changing environment<br>Teamwork<br>Building and promoting partnerships across the organization and beyond<br>
<h3>Use of Language Skills</h3><b>Essential</b>: Excellent knowledge of French ?and good working knowledge of English.<br><b>Desirable</b>:?<br><br>
<h2>"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1703155,Scientist (Epigenetics),France-Lyons,P2,Fixed-Term Appointment,"Oct 19, 2017, 5:59:00 AM",Two years?-?Extra-budgetary?position?established?for?a?limited?duration?of?two?years.?Any?extension?subject?to?availability?of?extra-budgetary?funding.,France-Lyons,"Sep 20, 2017, 2:25:56 PM",Epigenetics,Full-time,"<p></p></font></font></span></b></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt; tab-stops: 98.25pt""><b style=""mso-bidi-font-weight: normal""><u><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">Education<p></p></font></font></span></u></b></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">PhD (doctoral degree) or Doctor of Medicine (MD) degree in molecular biology, genetics, genomics, cancer biology, or related field.<p></p></font></font></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt; tab-stops: 98.25pt""><b style=""mso-bidi-font-weight: normal""><u><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">Experience<p></p></font></font></span></u></b></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><font color=""#000000""><i style=""mso-bidi-font-style: normal""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'>Essential: </font></span></i><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'>At least two years’ post-doctoral experience within the field of cancer research related to epigenetics/epigenomics, molecular biology and functional (epi)genomics. Experience of working on mechanistic/functional studies using in vitro (cell culture) models. Solid publication record in the relevant research areas.<p></p></font></span></font></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><font color=""#000000""><i style=""mso-bidi-font-style: normal""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'>Desirable: </font></span></i><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'>Experience with bioinformatics and related skill set, experimental setup for genome-editing and multiparametric phenotyping as well as other state-of-the-art tools of molecular and cell biology (such as shRNA library knockdown screens) would be an asset.<p></p></font></span></font></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt; tab-stops: 98.25pt""><b style=""mso-bidi-font-weight: normal""><u><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">Skills<p></p></font></font></span></u></b></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><i style=""mso-bidi-font-style: normal""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">Functional skills:<p></p></font></font></span></i></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">1/ Applied knowledge in modern molecular/cell biology and (epi)genomics in particular with respect to cancer research. <p></p></font></font></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">2/ Familiar with preparation of grant applications. <p></p></font></font></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">3/ Good organization and communication skills.<p></p></font></font></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><i style=""mso-bidi-font-style: normal""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">Required WHO competencies:<p></p></font></font></span></i></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">Ability to:<p></p></font></font></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">1/ Produce and deliver quality results<p></p></font></font></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">2/ Foster integration and teamwork<span style=""mso-tab-count: 1"">???????? </span><p></p></font></font></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">3/ Move forward in a changing and moving environment<p></p></font></font></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">4/ Communicate in a credible and effective way<p></p></font></font></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt; tab-stops: 98.25pt""><b style=""mso-bidi-font-weight: normal""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">Languages<p></p></font></font></span></b></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><font color=""#000000""><i style=""mso-bidi-font-style: normal""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'>Essential: </font></span></i><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'>Expert knowledge of English. <p></p></font></span></font></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt""><font color=""#000000""><i style=""mso-bidi-font-style: normal""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'>Desirable:</font></span></i><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'> Intermediate or higher knowledge of French. <p></p></font></span></font></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 8pt; tab-stops: 98.25pt""><b style=""mso-bidi-font-weight: normal""><span lang=""EN-US"" style=""mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin; mso-ansi-language: en-us""><font face='""calibri light"", sans-serif'><font color=""#000000"">"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702738,NPO (HIV/Hepatitis Prevention and Surveillance),India-New Delhi,NO-B,Fixed-Term Appointment,"Oct 11, 2017, 5:59:00 AM",24 months,India-New Delhi,"Sep 20, 2017, 12:07:57 PM","SE_IND WR Office, India",Full-time,"</h2>
<h3>Education</h3><strong>Essential</strong>: University Degree in Medicine or Life Science or Social Science<br><strong>Desirable</strong>: Postgraduate degree in public health and/or epidemiology or related fields.<br>
<h3>Experience</h3><strong>Essential</strong>: At least 2 years of professional experience in HIV/AIDS programme, preferably in Prevention, Surveillance and Monitoring &amp; Evaluation. <br><strong>Desirable</strong>: At least 5 years of professional experience in the field of Public Health and HIV/AIDS and experience of work in UN and/or other international organization in health programme.<br>
<h3>Skills</h3>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">The incumbent should identify with the core values of the World Health Organization.Thorough knowledge of the situation in India with regard to HIV/AIDS and viral hepatitis with good understanding of issues, policies and strategies, main stakeholders and actors.Very good knowledge of WHO policies, programmes and activities in the related areas and good understanding of Health Systems functioning.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">?</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">1. Ability to consolidate information from multiple sources.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">?</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">2. Demonstrated skill in the formulation, design, development and implementation of monitoring and evaluation frameworks.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">?</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">3. Ability to evaluate, analyze, and interpret HIV/AIDS and hepatitis data and use them for public health.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">?</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">4. Other skills (IT): ?Excellent knowledge of MS Office applications, especially Excel computer skills for data analysis. ?Ability to work with basic presentation software, e.g. Microsoft PowerPoint, for technical presentations.<br></p>
<h3>WHO Competencies</h3>1.? Teamwork<br>2.? Respecting and promoting individual and cultural differences<br>3.? Communication<br>4.? Producing results<br>5.? Ensuring the effective use of resources<br>
<h3>Use of Language Skills</h3><strong>Essential</strong>: Expert knowledge of English. Expert knowledge of Hindi.<br><br><br>
<h2>"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1703168,Budget & Finance Assistant,Egypt-Cairo,G6,Temporary Appointment under Staff Rule 420.4,"Oct 5, 2017, 5:59:00 AM",For two years,Egypt-Cairo,"Sep 20, 2017, 11:11:41 AM",EM/DAF General Management,Full-time,"</h2>
<h3>Education</h3><strong>Essential</strong>: - Completion of secondary school with additional training in automated accounting<br><strong>Desirable</strong>: University degree in commerce, finance, business administration or related field would be an asset.<br>
<h3>Experience</h3><strong>Essential</strong>: Eight years' experience in applying administrative and financial procedures through progressive work in finance and accounting activities.<br><strong>Desirable</strong>: --<br>
<h3>Skills</h3>- Demonstrated knowledge of general accounting principles, procedures, and practices. - Ability to maintain good working relationships with clients and stakeholders. - Delivering quality results in pressing situations and conflicting priorities.- Good analytical skills.<br>
<h3>WHO Competencies</h3>Communication<br>Knowing and managing yourself<br>Producing results<br>Moving forward in a changing environment<br>Teamwork<br>
<h3>Use of Language Skills</h3>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px""><strong>Essential</strong>: Expert knowledge of English. Expert knowledge of Arabic.<br><strong>Desirable</strong>: Beginners knowledge of French.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px""><b><font face=""Times New Roman""></font></b>?</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px""><b><font face=""Times New Roman"">Other Considerations:?</font></b></p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px""><b><font face=""Times New Roman"">?</font></b></p><font face=""Times New Roman"">
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">- Excellent knowledge of Microsoft Office.- Knowledge and ability to operate ERP systems</p>
</font><p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px""><font face=""Times New Roman""></font><br>?</p>
<h2>"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702980,Pediatrician Nutrition,Ethiopia,NO-C,External Consultant,"Oct 5, 2017, 5:59:00 AM",Short Term,Ethiopia,"Sep 20, 2017, 9:11:00 AM",AF_ETH Ethiopia,Full-time,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702994,Medical Officer Nutrition,Ethiopia,NO-B,External Consultant,"Oct 5, 2017, 5:59:00 AM",Short Term,Ethiopia,"Sep 20, 2017, 8:15:27 AM",AF_ETH Ethiopia,Full-time,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702993,Clinical Nurse,Ethiopia,NO-A,External Consultant,"Oct 5, 2017, 5:59:00 AM",Short Term,Ethiopia,"Sep 20, 2017, 7:38:37 AM",AF_ETH Ethiopia,Full-time,
