englishname,chinesename,incontinent,incountry,type,url,alljoburl,joburl,work,Location,PostLevel,ContractualArrangement,ClosingDate,Contractduration,PrimaryLocation,JobPosting,Organization,Schedule,Education,Experience,Skills,WHOCompetencies,LanguageSkills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702548,"Specialist, Strategic Fund Medicines Prequalification","United States-Washington, D.C.",P3,Fixed-Term Appointment,"Aug 31, 2017, 5:59:00 AM","Two years, first year probationary period.","United States-Washington, D.C.","Aug 9, 2017, 7:49:41 PM",Health Systems and Services,,"Essential:  A bachelor’s degree in a pharmaceutical science or related field from a recognized university;Desirable: A master’s degree in biology, pharmaceutical quality assurance or pharmaceutical procurement quality control would be an asset",Essential:  Seven years of combined national and international experience in pharmaceutical regulatory systems and/or prequalification of pharmaceutical manufacturers including activities related to strengthening capacity in evaluation and monitoring of pharmaceutical quality systems,"Theoretical and practical knowledge of pharmaceutical quality and regulatory issues; knowledge of current international standards in Good Laboratory Practices, Good Manufacturing Practices, Good Procurement Practices, Good Storage and Distribution Practices;Knowledge of international quality norms and standards in pharmaceutical procurement, prequalification of medicines and prequalification of quality control laboratories;Ability to apply quality assurance normative standards in pharmaceutical manufacturer/supplier evaluation and inspection, and development of operational quality management systems in pharmaceutical supply management;Mature judgment, strong technical, analytical, conceptual, inter-personal and communication skills; demonstrated ability to identify, assess, analyze, synthesize and provide recommendation on key political and technical issues;Ability to manage multiple issues and tasks in a complex organizational environment to re-prioritize actions on short notice;Strong professional oral and writing skills including the development of reports, oral presentations, and technical/persuasive documents for consideration at the highest levels of the Organization;Demonstrated ability to effectively use a computer and utilize software programs such as Microsoft Office Word, Excel, PowerPoint and Outlook.  Other IT skills and knowledge of other software programs such as Visio, Microsoft SharePoint and Project would be an asset","Intrainstitutional Action:  Operates in a fair, consistent and equitable manner, and displays such behavior by example. Ensures that the mission and the values of the Organization as well as the setting in which projects will be carried out are the drivers in one's technical work. Understands the results required and performs to that standard. Behaves consistently in accordance with the Code of Ethics of the Organization;Analysis, Synthesis, and Forecasting:   Takes or organizes individual and collective action after analyzing situations on the basis of the available evidence and knowledge.  Continuously analyzes the evolution of situations in an area of work and makes suggestions to adjust or confirm the decisions necessary to implement required actions. Is capable of anticipating the implications of an analyzed situation between six months to one year ahead;Communication:  Actively engages in conversation with the key players in a multicultural environment both within and outside the organization.  Develops a network of appropriate contacts inside and outside PAHO to gain information or to build an alliance.  Takes into consideration the multicultural differences within the organization;Teamwork:   Promotes team work and leads one's area to finish tasks and accept responsibility. Creates a positive environment within the area of work. Makes everyone feel like they are part of the team as well as welcomes and appreciates everyone's ideas and suggestions.  Able to see the positive aspects of working as a team, shares the team's enthusiasm for achieving mutual goals;Evaluation of technical cooperation interventions:  Proposes criteria for evaluating interventions at the process, management, and outcome level, in addition to plans for evaluating technical cooperation, in keeping with the PAHO's strategic direction;Information Management: Processes and analyzes the data objectively, presenting it clearly and equitably. Leads the effort to acquire relevant and selected information that facilitates the achievement of organizational results.  Evaluates/leads the evaluation of information systems on the basis of its advantages/disadvantages for processing information relevant to the area of work;Resource Mobilization:  Establishes partnerships and alliances with a variety of institutions and organizations as well as internal partnerships to obtain financial and non-financial resources.  Is able to relate with all types of people and at all levels in order to obtain resources that are needed. Is able to present and disseminate information in a clear manner.  Executes resources according to the agreements previously established with partnerships",Very good knowledge of English and Spanish with working knowledge of the other language.  Knowledge of French and/or Portuguese would be an asset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702527,Assistant - Protocol,Congo-Brazzaville,G4,Fixed-Term Appointment,"Aug 26, 2017, 5:59:00 AM",2 years,Congo-Brazzaville,"Aug 9, 2017, 4:20:40 PM",AF/GMC General Management,Full-time,Essentielle: Fin d’études secondaires suivies d’une formation en administration;Souhaitable: Une formation en gestion et relation serait un atout,"Essentielle: Deux à quatre ans d’expérience dans un emploi similaire dans une institution
publique ou privée  reconnue","Connaissance des rouages administratifs du pays, de tous les mécanismes  protocolaires.  Aptitude à se servir d’un système
informatique.  Aptitude à travailler dans un environnement multiculturel", Produire des résultats;Se conna?tre et se gérer;Avancer dans un environnement en pleine évolution;Favoriser l’intégration et le travail d’équipe;Communiquer de fa?on crédible et efficace,Connaissance moyenne en anglais et bonne connaissance en fran?ais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702530,Technical Officer (Regional Surveillance Officer),Egypt-Cairo,P4,Fixed-Term Appointment,"Aug 31, 2017, 5:59:00 AM","Post of limited duration for 2 years (subject to availability of funds, satisfactory performance, and continious need for the position)",Egypt-Cairo,"Aug 9, 2017, 3:48:19 PM",EM/DCD Division of Communicable Disease Control,Full-time,Essential: University degree in Medicine and master's degree in Epidemiology or Public Health;Desirable: Training on epidemiological surveillance and response,Essential: At least 7 years of experience at the national and international levels in establishing and managing surveillance of various communicable diseases;Desirable: Experience in establishing CD surveillance system in EMR countries; experience in outbreak investigation and response; experience in developing electronic surveillance systems,"Demonstrated knowledge, competency and professional skills on public health aspects of infectious disease control, and the use of descriptive epidemiology and principles of public health in communicable disease surveillance and response;Ability to write reports on CDs and interpret epidemiological surveillance data;Good presentation and writing skills;Good knowledge of Health Information System including District Health information System",Teamwork;Respecting and promoting individual and cultural differences;Communication;Producing results;Building and promoting partnerships across the organization and beyond,Essential: Expert knowledge of English;Desirable: Expert knowledge of French. Expert knowledge of Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702561,"NPO, Country Preparedness & IHR, Serbia",Serbia,NO-B,Fixed-Term Appointment,"Sep 5, 2017, 5:59:00 AM",12 months,Serbia,"Aug 9, 2017, 3:34:30 PM",EU/WHE WHO Health Emergencies Programme (WHE),Full-time,"Essential: University degree in medicine, a health-related field or public health-related discipline;Desirable: Master or postgraduate training in Public Health or other relevant areas. Specialized training in emergency/disaster preparedness and response","Essential: Minimum three years of national professional experience in planning, developing and implementing programmes/projects in the area of health security, including emergency preparedness;Desirable: Relevant work experience in WHO, other UN agencies; experience working in relevant non-governmental or humanitarian organizations. Relevant experience in the implementation of International Health Regulations (2005)","Knowledge of International Health Regulations (2005), the epidemiology of infectious diseases and other global health security threats, and of issues and practices for disease prevention and control;Demonstrated organizational skills with the ability to multi-task and produce results under pressure;Knowledge of the UN and humanitarian systems for emergency response and preparedness",Teamwork;Respecting and promoting individual and cultural differences;Communication;Moving forward in a changing environment;Producing results,Essential: Expert knowledge of English. Expert knowledge of Local language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702558,Public Health Officer (Health Cluster Coordinator),Syrian Arab Republic-Damascus,P5,Temporary Appointment under Staff Rule 420.4,"Aug 24, 2017, 5:59:00 AM",6 months,Syrian Arab Republic-Damascus,"Aug 9, 2017, 3:09:13 PM","EM_SYR WHO Representative's Office, Syrian Arab Republic",Full-time,"Essential: An advanced university degree (Master's level or above) in Public Health or International Health or related field;Desirable: Post graduate studies in emergency management, international aid, humanitarian principles, health system recovery, and health cluster coordinator training","Essential: At least 10 years of relevant experience at national and international level, including experience in managing and coordinating health humanitarian programs in conflict or post-conflict countries;Desirable: Experience working in UN organizations or NGOs, experience in working with donors in humanitarian context","In-depth knowledge of emergency relief policies and practices within the UN, other UN specialized agencies, donor agencies, national and international NGOs. -Sound knowledge of national disaster prevention and preparedness programs",Fostering integration and teamwork;Respecting & promoting individual and cultural differences*;Communicating in a credible and effective way*;Promoting innovation and organizational learning;Building and promoting partnerships across the organization and beyond;Creating an empowering and motivating environment,Essential: Expert knowledge of English;Desirable: Intermediate knowledge of French. Intermediate knowledge of Local Language ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702305,Administrative Assistant,Congo-Brazzaville,G5,Temporary Appointment under Staff Rule 420.4,"Aug 24, 2017, 5:59:00 AM",1 year,Congo-Brazzaville,"Aug 9, 2017, 2:33:55 PM","AF/DPM Director, Programme Management",Full-time,Essential: Completion of secondary school education; or its equivalent in technical or commercial education;Desirable: Training in administrative and secretarial skills and/or an administrative field,Essential: Minimum of eight (5) years' experience in providing administrative support in an international organization setting,"Thorough knowledge of secretarial skills including proven typing ability; Excellent interpersonal skills and ability to deal with staff at all levels; Awareness of WHO rules and regulations, policies and procedures. Tact, discretion and ability to keep information confidential are essential. Incumbent is also expected to maintain computer skills in Word, Excel, Outlook, PowerPoint and the Global Management System (GSM). Ability to communicate clearly to peers and supervisor",Teamwork;Respecting and promoting individual and cultural differences;Communication;Producing results;Moving forward in a changing environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702556,National Professional Officer (Public Health),Syrian Arab Republic,NO-B,Temporary Appointment under Staff Rule 420.4,"Aug 24, 2017, 5:59:00 AM",6 months,Syrian Arab Republic,"Aug 9, 2017, 1:11:44 PM","EM_SYR WHO Representative's Office, Syrian Arab Republic",Full-time,Essential: First level university degree is required in Medicine or Public Health;Desirable: Master's Degree in Public Health,"Essential: At least 2 years of experience required in health sector coordination. Experience in capacity building and demonstrated knowledge of health sector activities in the context of emergency response and relief;Desirable: Knowledge of WHO mandate and goals or experience in UN Organizations, NGOs is considered an asset. ? project management / Results-based Management (RBM) is an asset","Proven skills in capacity building;Demonstrate knowledge of health sector activities in the context of emergency response relief;Broad knowledge of Emergency programmers, policies and interventions;Ability to work under pressure;Knowledge of WHO and UN programmes;Excellent presentation skills",Teamwork;Respecting and promoting individual and cultural differences;Communication;Producing results;Promoting innovation and organizational learning,Essential: Expert knowledge of English. Expert knowledge of Arabic;Desirable: Intermediate knowledge of French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702554,National Professional Officer (Public Health),Syrian Arab Republic,NO-B,Temporary Appointment under Staff Rule 420.4,"Aug 24, 2017, 5:59:00 AM",6 months,Syrian Arab Republic,"Aug 9, 2017, 12:17:22 PM","EM_SYR WHO Representative's Office, Syrian Arab Republic",Full-time,Essential: University degree in Public Health or  medicine;Desirable: Master degree in Public Health,"Essential: At least 2 years of experience required in health sector coordination at national level. Experience in capacity building and demonstrate knowledge of health sector activities in the context of emergency response relief inclusive of professional work experience in planning , programming, implementation monitoring and evaluation of health programmes;Desirable: Professional work experience in a programmer management function or a technical expert capacity in child survival and health care. Field work experience is an asset","Very good knowledge in epidemiology;Good planning and monitoring skills;knoweldge of WHO mandate and goals or experience in UN organizations, international insititutions of NGOs is considered an asset",Producing results;communicating in credible and effective way;Creating an empowering and motivating environment,Essential: Expert knowledge of English. Expert knowledge of local language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702551,"Technical Officer, Data Management",Denmark-Copenhagen,P3,Fixed-Term Appointment,"Oct 1, 2017, 5:59:00 AM",One year,Denmark-Copenhagen,"Aug 9, 2017, 11:38:31 AM","EU/DIR Information, Evidence, Research and Innovation",Full-time,"Essential: University degree in statistics, demography, health informatics, computer sciences or similar sciences;Desirable: Master's or post-graduate training in one of the above sciences","Essential: At least 5 years relevant working experience in the field of statistical data collection and validation in public health, harmonization of data and metadata, indicator production, data analysis and visualization, including experience with and management of data from a variety of data sources and multiple dimensions;Desirable: Experience with implementing and using web-based data collection systems. Working with national and international agencies active in the field of health statistics. Experience in WHO or other UN agencies","Good knowledge of the assessment, planning, development and implementation of projects and programmes on health information systems, including project management skills;Good knowledge and use of R statistical package, SQL, and sound health data management practices. Advanced statistical programming and data management skills to customize databases and other tools and automate data processing;Technical expertise in the application of qualitative and quantitative techniques in data analysis. Knowledge of statistical principles, methods and software packages (incl. statistical modelling) data administration and analysis, preferably with a special focus on biostatistics and demography",Producing results;Moving forward in a changing environment;Ensuring the effective use of resources;Communicating in a credible and effective way;Fostering integration and teamwork,"Essential: Excellent knowledge of English and working knowledge of another WHO or EURO official language (ie Russian, German, French, Spanish, Chinese or Arabic);Desirable: Working knowledge of Russian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702312,Secretary,Hungary-Budapest,G4,Fixed-Term Appointment,"Aug 31, 2017, 5:59:00 AM",1 year,Hungary-Budapest,"Aug 9, 2017, 11:04:37 AM",HQ/ODG Office of the Director-General,Full-time,Essential: Completion of secondary school education or equivalent,Essential: At least 3 years of relevant experience;Desirable: Relevant experience in WHO or another UN agency. Experience in Oracle-based or other ERP systems,"The incumbent maintains and updates proficiency in the use of modern office technology through in-house courses, on-the-job training and/or self-training. He/she keeps abreast of changes in procedures and practices, rules and regulations, organizational structure, in the department, the cluster and WHO",Knowing and managing yourself;Producing results;Teamwork,Essential: Expert knowledge of English. Intermediate knowledge of French;Desirable: The above language requirements are interchangeable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702487,Technical Officer (HR & Service Procurement),Bangladesh-Dhaka,P2,Temporary Appointment under Staff Rule 420.4,"Aug 30, 2017, 5:59:00 AM",Two years,Bangladesh-Dhaka,"Aug 9, 2017, 8:18:29 AM","SE_BAN WR Office, Bangladesh",Full-time,"Essential: University degree in human resources management, public or business administration, law or other relevant social sciences;Desirable: Masters degree in human resources management, public or business administration, law or other relevant fields","Essential: At least two years' experience in human resourcesmanagement and in managing service contracts at international level;Desirable: -Good knowledge and understanding of WHO policies and practices particularly in the area of recruitment and selection, performance management, staff development and HR contract/entitlements administration and in managing service procurements. -Experience in supporting grant project and portfolio teams and professionals. -Some experience working in the areas of performance management, staff development and staff entitlements of the UN system of organizations","Ability to lead a team dealing with HR and Procurement works and liaise with all Units in an Office;Other Skills:Interpersonal skills and communication skills;Demonstrated ability to effectively use computers and operation systems such as Microsoft OFfice (Excel, word, PowerPoint, Access and Outlook etc);Daily use of internet/email communications",Teamwork;Respecting and promoting individual and cultural differences;Communication;Producing results;Ensuring the effective use of resources,Essential: Expert knowledge of English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702273,Technical Officer,Switzerland-Geneva,P4,Temporary Appointment under Staff Rule 420.4,"Aug 30, 2017, 5:59:00 AM",One Year,Switzerland-Geneva,"Aug 8, 2017, 4:34:23 PM",HQ/EMP-  Essential Medicines and Health Products,Full-time,"Essential: University degree in a health science such as biology, microbiology, laboratory sciences or pharmacy and a Masters degree in a health science","Essential: At least seven years of experience in medical devices regulations/quality assurance including in vitro diagnostics at national and international level, including working with industry and governmental bodies;Desirable: Experience in collaboration with other UN organizations and industry","Excellent written and oral communication skills. Ability to present information effectively. Demonstrated ability to communicate effectively on complex issues.  Strong interpersonal skills and team spirit. Ability to work under tight deadlines on a results-oriented basis. Good planning skills, ability to handle multiple tasks and priorities. Fluency in the use of standard office software programmes",Teamwork;Respecting and promoting individual and cultural differences;Communication;Producing results;Building and promoting partnerships across the organization and beyond,Essential: Expert knowledge of English;Desirable: Beginners knowledge of French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702539,"NPO, Country Preparedness & IHR, TJK",Tajikistan,NO-B,Temporary Appointment under Staff Rule 420.4,"Aug 31, 2017, 5:59:00 AM",12 months,Tajikistan,"Aug 8, 2017, 4:30:36 PM",EU/WHE WHO Health Emergencies Programme (WHE),Full-time,"Essential: University degree in medicine, a health-related field or public health-related discipline;Desirable: Master or postgraduate training in Public Health or other relevant areas. Specialized training in emergency/disaster preparedness and response","Essential: Minimum three years of national professional experience in planning, developing and implementing programmes/projects in the area of health security, including emergency preparedness;Desirable: Relevant work experience in WHO, other UN agencies; experience working in relevant non-governmental or humanitarian organizations. Relevant experience in the implementation of International Health Regulations (2005)","Knowledge of International Health Regulations (2005), the epidemiology of infectious diseases and other global health security threats, and of issues and practices for disease prevention and control;Demonstrated organizational skills with the ability to multi-task and produce results under pressure.Knowledge of the UN and humanitarian systems for emergency response and preparedness",Teamwork;Respecting and promoting individual and cultural differences;Communication;Moving forward in a changing environment;Producing results,Essential: Expert knowledge of English. Intermediate knowledge of Local language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702538,"NPO, Country Preparedness & IHR, MDA","Moldova, Republic of",NO-B,Fixed-Term Appointment,"Aug 31, 2017, 5:59:00 AM",12 months,"Moldova, Republic of","Aug 8, 2017, 4:20:21 PM",EU/WHE WHO Health Emergencies Programme (WHE),Full-time,"Essential: University degree in medicine, a health-related field or public health-related discipline;Desirable: Master or postgraduate training in Public Health or other relevant areas. Specialized training in emergency/disaster preparedness and response","Essential: Minimum three years of national professional experience in planning, developing and implementing programmes/projects in the area of health security, including emergency preparedness;Desirable: Relevant work experience in WHO, other UN agencies; experience working in relevant non-governmental or humanitarian organizations. Relevant experience in the implementation of International Health Regulations (2005)","Knowledge of International Health Regulations (2005), the epidemiology of infectious diseases and other global health security threats, and of issues and practices for disease prevention and control;Demonstrated organizational skills with the ability to multi-task and produce results under pressure.Knowledge of the UN and humanitarian systems for emergency response and preparedness",Teamwork;Respecting and promoting individual and cultural differences;Communication;Moving forward in a changing environment;Producing results,Essential: Expert knowledge of English. Expert knowledge of Local language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702534,"NPO, Country Preparedness & IHR, Kyrgyzstan",Kyrgyzstan,NO-B,Temporary Appointment under Staff Rule 420.4,"Aug 31, 2017, 5:59:00 AM",12 months,Kyrgyzstan,"Aug 8, 2017, 3:31:28 PM",EU/WHE WHO Health Emergencies Programme (WHE),Full-time,"Essential: University degree in medicine, a health-related field or public health-related discipline;Desirable: Master or postgraduate training in Public Health or other relevant areas. Specialized training in emergency/disaster preparedness and response","Essential: Minimum three years of national professional experience in planning, developing and implementing programmes/projects in the area of health security, including emergency preparedness;Desirable: Relevant work experience in WHO, other UN agencies; experience working in relevant non-governmental or humanitarian organizations. Relevant experience in the implementation of International Health Regulations (2005)","Knowledge of International Health Regulations (2005), the epidemiology of infectious diseases and other global health security threats, and of issues and practices for disease prevention and control;Demonstrated organizational skills with the ability to multi-task and produce results under pressure.Knowledge of the UN and humanitarian systems for emergency response and preparedness",Teamwork;Respecting and promoting individual and cultural differences;Communication;Moving forward in a changing environment;Producing results,Essential: Expert knowledge of English. Expert knowledge of Local language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702528,"NPO, Country Preparedness & IHR, Armenia",Armenia,NO-B,Fixed-Term Appointment,"Sep 1, 2017, 5:59:00 AM",12 months,Armenia,"Aug 8, 2017, 3:07:08 PM",EU/WHE WHO Health Emergencies Programme (WHE),Full-time,"Essential: University degree in medicine, a health-related field or public health-related discipline;Desirable: Master or postgraduate training in Public Health or other relevant areas. Specialized training in emergency/disaster preparedness and response","Essential: Minimum three years of national professional experience in planning, developing and implementing programmes/projects in the area of health security, including emergency preparedness;Desirable: Relevant work experience in WHO, other UN agencies; experience working in relevant non-governmental or humanitarian organizations. Relevant experience in the implementation of International Health Regulations (2005)","Knowledge of International Health Regulations (2005), the epidemiology of infectious diseases and other global health security threats, and of issues and practices for disease prevention and control;Demonstrated organizational skills with the ability to multi-task and produce results under pressure.Knowledge of the UN and humanitarian systems for emergency response and preparedness",Teamwork;Respecting and promoting individual and cultural differences;Communication;Moving forward in a changing environment;Producing results,Essential: Expert knowledge of English. Expert knowledge of Local language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702526,"NPO, Country Preparedness & IHR, Kazakhstan",Kazakhstan,NO-B,Fixed-Term Appointment,"Sep 1, 2017, 5:59:00 AM",12 months,Kazakhstan,"Aug 8, 2017, 2:14:08 PM",EU/WHE WHO Health Emergencies Programme (WHE),Full-time,"Essential: University degree in medicine, a health-related field or public health-related discipline;Desirable: Master or postgraduate training in Public Health or other relevant areas. Specialized training in emergency/disaster preparedness and response","Essential: Minimum three years of national professional experience in planning, developing and implementing programmes/projects in the area of health security, including emergency preparedness;Desirable: Relevant work experience in WHO, other UN agencies; experience working in relevant non-governmental or humanitarian organizations. Relevant experience in the implementation of International Health Regulations (2005)","Knowledge of International Health Regulations (2005), the epidemiology of infectious diseases and other global health security threats, and of issues and practices for disease prevention and control;Demonstrated organizational skills with the ability to multi-task and produce results under pressure.Knowledge of the UN and humanitarian systems for emergency response and preparedness",Teamwork;Respecting and promoting individual and cultural differences;Communication;Moving forward in a changing environment;Producing results,Essential: Expert knowledge of English. Expert knowledge of Local language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1701925,Technical Officer,Switzerland-Geneva,P4,Temporary Appointment under Staff Rule 420.4,"Aug 30, 2017, 5:59:00 AM",1 year,Switzerland-Geneva,"Aug 8, 2017, 12:39:14 PM",HQ/SDS Service Delivery and Safety,Full-time,"Essential: An advanced level university degree (masters level or above) in Medicine, Medical Sciences or Nursing with specialization in IPC;Desirable: Postgraduate qualifications in epidemiology and/or clinical research","Essential: Minimum seven years of progressive responsibilities and experience in the field of IPC at national / international level, including involvement in research activities and including minimum five years of field experience in IPC practices implementation in developing countries. Demonstrated experience in interacting with international key players in the field of IPC. Experience of IPC monitoring and data interpretation and of development of IPC intervention plans at facility level. Experience in communications including use of social media;Desirable: Experience in epidemiological and clinical research in the field of IPC. Experience in data management and analysis","Advanced expertise in IPC, substantial knowledge in public health and patient safety. Sense of responsibility, coordination skills, good interpersonal and communication skills, including in writing. Flexibility, availability to travel to countries in official missions, and ability to function in a rapidly changing environment.Excellent scientific writing skills",Teamwork;Respecting and promoting individual and cultural differences;Communication;Moving forward in a changing environment;Producing results,Essential: Expert knowledge of English;Desirable: Intermediate knowledge of French. Intermediate knowledge of Other UN languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702430,Executive Assistant (Programme),Bangladesh-Dhaka,G5,Fixed-Term Appointment,"Aug 29, 2017, 5:59:00 AM",24 months,Bangladesh-Dhaka,"Aug 8, 2017, 6:49:12 AM","SE_BAN WR Office, Bangladesh",Full-time,Essential: Completion of secondary school education;Desirable: University degree is an asset.Training in secretarial practices,Essential: At least five (5) years' experience in secretarial/clerical/administrative work;Desirable: -Experience in programme management or programme support.-Experience in UN/International Organization would be an advantage,"Thorough knowledge of modern office procedures and practices. The incumbent keeps abreast of changes in procedures and practices, rules and regulations,organizational structure, in the department, and WHO;Ability to draft standard correspondence;-Ability to handle work in a timely and accurate manner with tact and discretion, as required;Ability to maintain and update knowledge in the use of office technology through in-house courses, on-the-job training and/or self-training;Other IT Skills:  Proficiency in the use of modern office software packages such as MS Office (Word, Excel, PowerPoint, Outlook, etc.) and standard office equipment. Good working knowledge of GSM (or other Oracle-based ERP systems) is desirable",Teamwork;Respecting and promoting individual and cultural differences;Communication;Producing results;Moving forward in a changing environment,Essential: Expert knowledge of English. Expert knowledge of Bangla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
